item_id,benchmark,condition,selected_candidate_indices
lvbench:10,lvbench,mdp3_8,"[19, 20, 21, 42, 46, 51, 52, 55]"
lvbench:10,lvbench,plain_dpp_8,"[20, 21, 42, 46, 51, 52, 53, 55]"
lvbench:1083,lvbench,mdp3_8,"[8, 11, 27, 28, 33, 34, 47, 63]"
lvbench:1083,lvbench,plain_dpp_8,"[8, 11, 28, 33, 34, 47, 53, 63]"
lvbench:1097,lvbench,mdp3_8,"[1, 2, 5, 15, 24, 26, 46, 55]"
lvbench:1097,lvbench,plain_dpp_8,"[1, 2, 5, 15, 24, 26, 46, 55]"
lvbench:1098,lvbench,mdp3_8,"[2, 3, 22, 25, 37, 52, 54, 56]"
lvbench:1098,lvbench,plain_dpp_8,"[2, 3, 22, 25, 27, 37, 54, 58]"
lvbench:1099,lvbench,mdp3_8,"[2, 13, 15, 24, 31, 43, 50, 55]"
lvbench:1099,lvbench,plain_dpp_8,"[2, 15, 23, 24, 31, 43, 50, 55]"
lvbench:1102,lvbench,mdp3_8,"[1, 4, 8, 41, 46, 47, 54, 58]"
lvbench:1102,lvbench,plain_dpp_8,"[1, 8, 18, 41, 46, 47, 54, 58]"
lvbench:1114,lvbench,mdp3_8,"[4, 23, 24, 27, 29, 31, 33, 43]"
lvbench:1114,lvbench,plain_dpp_8,"[4, 13, 23, 24, 27, 29, 31, 43]"
lvbench:1115,lvbench,mdp3_8,"[0, 1, 4, 14, 31, 36, 42, 62]"
lvbench:1115,lvbench,plain_dpp_8,"[0, 1, 4, 14, 29, 31, 36, 42]"
lvbench:1123,lvbench,mdp3_8,"[14, 17, 20, 24, 31, 43, 45, 48]"
lvbench:1123,lvbench,plain_dpp_8,"[14, 17, 20, 24, 31, 43, 47, 58]"
lvbench:1125,lvbench,mdp3_8,"[4, 14, 19, 24, 29, 31, 36, 40]"
lvbench:1125,lvbench,plain_dpp_8,"[1, 4, 14, 19, 24, 29, 31, 40]"
lvbench:1128,lvbench,mdp3_8,"[4, 15, 16, 36, 40, 42, 43, 63]"
lvbench:1128,lvbench,plain_dpp_8,"[4, 16, 36, 40, 42, 43, 55, 63]"
lvbench:1129,lvbench,mdp3_8,"[4, 14, 20, 21, 22, 23, 42, 62]"
lvbench:1129,lvbench,plain_dpp_8,"[1, 4, 14, 20, 21, 22, 23, 42]"
lvbench:1130,lvbench,mdp3_8,"[1, 4, 19, 29, 33, 40, 43, 54]"
lvbench:1130,lvbench,plain_dpp_8,"[1, 4, 14, 19, 29, 31, 40, 54]"
lvbench:1132,lvbench,mdp3_8,"[0, 4, 7, 14, 36, 40, 42, 44]"
lvbench:1132,lvbench,plain_dpp_8,"[0, 4, 7, 14, 36, 40, 42, 52]"
lvbench:1137,lvbench,mdp3_8,"[1, 2, 29, 34, 36, 38, 43, 52]"
lvbench:1137,lvbench,plain_dpp_8,"[1, 2, 29, 34, 36, 38, 43, 52]"
lvbench:117,lvbench,mdp3_8,"[8, 16, 18, 28, 37, 45, 47, 56]"
lvbench:117,lvbench,plain_dpp_8,"[8, 18, 24, 28, 37, 45, 47, 49]"
lvbench:1180,lvbench,mdp3_8,"[25, 26, 27, 33, 37, 48, 51, 61]"
lvbench:1180,lvbench,plain_dpp_8,"[16, 25, 27, 28, 33, 37, 48, 51]"
lvbench:1192,lvbench,mdp3_8,"[9, 10, 22, 26, 34, 43, 45, 52]"
lvbench:1192,lvbench,plain_dpp_8,"[9, 10, 22, 33, 34, 45, 48, 54]"
lvbench:1225,lvbench,mdp3_8,"[1, 4, 6, 20, 36, 41, 51, 59]"
lvbench:1225,lvbench,plain_dpp_8,"[1, 4, 6, 20, 36, 41, 51, 59]"
lvbench:1229,lvbench,mdp3_8,"[7, 8, 14, 15, 26, 43, 48, 55]"
lvbench:1229,lvbench,plain_dpp_8,"[2, 7, 8, 14, 15, 26, 48, 55]"
lvbench:1234,lvbench,mdp3_8,"[1, 2, 6, 14, 18, 43, 46, 55]"
lvbench:1234,lvbench,plain_dpp_8,"[1, 2, 6, 13, 14, 18, 43, 55]"
lvbench:1240,lvbench,mdp3_8,"[2, 9, 10, 13, 35, 43, 45, 47]"
lvbench:1240,lvbench,plain_dpp_8,"[9, 10, 13, 18, 42, 43, 45, 47]"
lvbench:1246,lvbench,mdp3_8,"[1, 4, 12, 34, 43, 49, 52, 62]"
lvbench:1246,lvbench,plain_dpp_8,"[1, 4, 12, 17, 34, 43, 52, 62]"
lvbench:126,lvbench,mdp3_8,"[4, 20, 21, 23, 32, 44, 53, 58]"
