model,benchmark,item_id,context_index,pair_type,a,ab,b,baseline,interaction,absolute_interaction,source_video_id,candidate_a_time,candidate_b_time,evidence_pair,utility_a,utility_b,main_abs_sum,main_abs_max,main_abs_difference,main_signed_sum,baseline_magnitude,temporal_distance,main_abs_sum_squared,outside_common_support,selection_group,magnitude_quartile,case_id,question,options,answer,frame_a_image,frame_b_image
qwen3_vl_32b,lvbench,lvbench:1360,0,evidence_evidence,-6.5000961642945185,-2.5000530034303665,-2.500091440975666,10.17724812103188,16.677382722871698,16.677382722871698,uW9mcG0rdLY,2111.3333333333335,2112.6666666666665,1.0,-16.6773442853264,-12.677339562007546,29.354683847333945,16.6773442853264,4.0000047233188525,-29.354683847333945,10.17724812103188,1.3333333333330302,861.6974637769284,False,stress_positive_evidence_evidence,,case_000,"What is the man in the scene most likely doing while on the left side, there are a blue sweatshirt, a black T-shirt, a mint towel, and two black and red socks hanging on a rope to dry?","[""Sketching landscapes"", ""Writing a travel diary"", ""Calculating the weather on the island"", ""Recording the behavior of wild animals""]",D,images/case_000_a.jpg,images/case_000_b.jpg
qwen3_vl_4b,herbench,herbench:FOM_621,1,evidence_evidence,0.9910717904567719,6.995217981224414,-2.7504580952227116,4.833484801463783,13.588089087454136,13.588089087454136,P02-20240211-141313,891.55,1420.5,1.0,-3.842413011007011,-7.583942896686494,11.426355907693505,7.583942896686494,3.7415298856794834,-11.426355907693505,4.833484801463783,528.95,130.56160932928228,False,stress_positive_evidence_evidence,,case_001,Which of the following objects the camera wearer of the video did NOT interact with?,"[""size of heat"", ""top plate"", ""recipe book"", ""large saucepan"", ""table spoon""]",A,images/case_001_a.jpg,images/case_001_b.jpg
qwen3_vl_32b,nextgqa,nextgqa:5412696114:0,2,evidence_evidence,-0.37501978874206543,1.624978020787239,-1.000009298324585,9.799305798158457,12.799312906012347,12.799312906012347,5412696114,26.23333333333333,27.066666666666666,1.0,-10.174325586900522,-10.799315096483042,20.973640683383564,10.799315096483042,0.6249895095825195,-20.973640683383564,9.799305798158457,0.8333333333333357,439.8936035156822,False,stress_positive_evidence_evidence,,case_002,why did the baby fall over,"[""tripped over the toy"", ""pushed by dog"", ""lose balance when trying reach forward"", ""to jump into the pool"", ""girl pushes baby""]",C,images/case_002_a.jpg,images/case_002_b.jpg
qwen3_vl_32b,nextgqa,nextgqa:10173643695:5,2,evidence_evidence,-7.625084321945906,-8.250017204729374,-8.625014919933164,4.323550011962652,12.323632049112348,12.323632049112348,10173643695,14.3,16.700000000000003,1.0,-11.948634333908558,-12.948564931895817,24.897199265804375,12.948564931895817,0.9999305979872588,-24.897199265804375,4.323550011962652,2.400000000000002,619.8705312811699,False,stress_positive_evidence_evidence,,case_003,what does the boy in red and black shorts do as the boy in blue shorts was hanging on the pole,"[""walk in front of him"", ""watch the kids"", ""jumps withthem"", ""droped on table"", ""climb on table""]",E,images/case_003_a.jpg,images/case_003_b.jpg
perception_lm_8b,nextgqa,nextgqa:5412696114:0,2,evidence_evidence,-4.937521581538022,-9.281252269560355,-9.500004294648534,6.3944449062692,11.5507185128954,11.5507185128954,5412696114,26.23333333333333,27.066666666666666,1.0,-11.331966487807222,-15.894449200917734,27.226415688724956,15.894449200917734,4.562482713110512,-27.226415688724956,6.3944449062692,0.8333333333333357,741.2777112552484,False,stress_positive_evidence_evidence,,case_004,why did the baby fall over,"[""tripped over the toy"", ""pushed by dog"", ""lose balance when trying reach forward"", ""to jump into the pool"", ""girl pushes baby""]",C,images/case_004_a.jpg,images/case_004_b.jpg
qwen3_vl_4b,lvbench,lvbench:1360,0,evidence_evidence,-6.8752105593448505,-5.375239002984017,-5.875130544882268,3.85029324144125,11.225395342684351,11.225395342684351,uW9mcG0rdLY,2111.3333333333335,2112.6666666666665,1.0,-10.7255038007861,-9.725423786323518,20.450927587109618,10.7255038007861,1.0000800144625828,-20.450927587109618,3.85029324144125,1.3333333333330302,418.2404391732012,False,stress_positive_evidence_evidence,,case_005,"What is the man in the scene most likely doing while on the left side, there are a blue sweatshirt, a black T-shirt, a mint towel, and two black and red socks hanging on a rope to dry?","[""Sketching landscapes"", ""Writing a travel diary"", ""Calculating the weather on the island"", ""Recording the behavior of wild animals""]",D,images/case_005_a.jpg,images/case_005_b.jpg
qwen3_vl_4b,lvbench,lvbench:2915,0,evidence_evidence,-5.375611102674156,10.586318493209546,-4.000553924590349,-8.875186359888176,11.087297160585877,11.087297160585877,RCAqKnvu_P0,1017.0,1028.0,1.0,3.499575257214019,4.874632435297826,8.374207692511845,4.874632435297826,1.3750571780838072,8.374207692511845,8.875186359888176,11.0,70.12735447732456,True,stress_positive_evidence_evidence,,case_006,Where does the vlogger go after visiting Takeshita Street?,"[""TeamLab Planets"", ""Shibuya sky"", ""Asakusa"", ""Mt. Fuji""]",C,images/case_006_a.jpg,images/case_006_b.jpg
qwen3_vl_4b,nextgqa,nextgqa:5412696114:0,2,evidence_evidence,-3.4689903259277344e-05,0.2499772310256958,-1.2500440776348114,9.368381027052237,10.868437025616004,10.868437025616004,5412696114,26.23333333333333,27.066666666666666,1.0,-9.368415716955496,-10.618425104687049,19.986840821642545,10.618425104687049,1.2500093877315521,-19.986840821642545,9.368381027052237,0.8333333333333357,399.47380602967684,False,stress_positive_evidence_evidence,,case_007,why did the baby fall over,"[""tripped over the toy"", ""pushed by dog"", ""lose balance when trying reach forward"", ""to jump into the pool"", ""girl pushes baby""]",C,images/case_007_a.jpg,images/case_007_b.jpg
qwen3_vl_4b,lvbench,lvbench:1348,1,evidence_evidence,8.004469808045542,10.169327617422823,-4.625093594193459,4.055887686088681,10.845839089659421,10.845839089659421,uW9mcG0rdLY,789.0,799.0,1.0,3.9485821219568606,-8.68098128028214,12.629563402239,8.68098128028214,4.732399158325279,-4.732399158325279,4.055887686088681,10.0,159.50587173117475,True,stress_positive_evidence_evidence,,case_008,Why did the person jump up at the end of the clip that has a white reticle at the center?,"[""This person witnessed people hunting orca on the beach, so the person was angry"", ""This person saw an orca hunting elephant seals on the beach, so he attempted to drive away the orca"", ""This person and their companions successfully helped a stranded orca return to the ocean, so the person was happy"", ""This person captured a rare sighting of an orca on the beach, so the person was happy""]",C,images/case_008_a.jpg,images/case_008_b.jpg
qwen3_vl_4b,lvbench,lvbench:1348,0,evidence_evidence,6.685600702185184,13.14804923534598,-1.5000202059745789,2.8290371857583523,10.791505924893727,10.791505924893727,uW9mcG0rdLY,789.0,799.0,1.0,3.8565635164268315,-4.329057391732931,8.185620908159763,4.329057391732931,0.47249387530609965,-0.47249387530609965,2.8290371857583523,10.0,67.00438965210226,True,stress_positive_evidence_evidence,,case_009,Why did the person jump up at the end of the clip that has a white reticle at the center?,"[""This person witnessed people hunting orca on the beach, so the person was angry"", ""This person saw an orca hunting elephant seals on the beach, so he attempted to drive away the orca"", ""This person and their companions successfully helped a stranded orca return to the ocean, so the person was happy"", ""This person captured a rare sighting of an orca on the beach, so the person was happy""]",C,images/case_009_a.jpg,images/case_009_b.jpg
qwen3_vl_4b,lvbench,lvbench:3045,1,evidence_evidence,-7.5700377225875854,-0.6296715438365936,-5.6257198001258075,-1.9236788898706436,10.642407089006156,10.642407089006156,iA_69g87Ilw,1674.3333333333333,1691.6666666666667,1.0,-5.646358832716942,-3.702040910255164,9.348399742972106,5.646358832716942,1.944317922461778,-9.348399742972106,1.9236788898706436,17.333333333333485,87.39257775440093,True,stress_positive_evidence_evidence,,case_010,Where does the vlogger have his second day breakfast?,"[""In a lounge"", ""At a local restaurant"", ""At the dinning room"", ""In his room""]",D,images/case_010_a.jpg,images/case_010_b.jpg
