model,benchmark,scheme,stratum,questions,source_videos,pair_context_records,absolute_gap,absolute_gap_ci_low,absolute_gap_ci_high,signed_evidence_interaction,signed_evidence_ci_low,signed_evidence_ci_high,evidence_negative_rate,evidence_negative_rate_ci_low,evidence_negative_rate_ci_high
internvl35_38b,herbench,native,Action Counting,66,26,396,0.19216117913572067,0.11097527005775377,0.28513765247084966,0.11377224562148379,0.006304575572622165,0.222381940686928,0.33653846153846156,0.2574786324786325,0.4188034188034188
internvl35_8b,herbench,native,Action Counting,66,26,396,0.16469485882637847,0.1141849885047931,0.22185679164189745,0.12296128490318854,0.04928910787949641,0.20148103491594202,0.36217948717948717,0.2735042735042735,0.45088141025640993
perception_lm_8b,herbench,native,Action Counting,66,26,396,0.26985144370402664,0.20808781397182688,0.3344743528221256,0.10325500823987219,-0.012932672571096347,0.22508412606767417,0.3931623931623932,0.29807692307692313,0.4807692307692308
qwen3_vl_32b,herbench,native,Action Counting,66,26,396,0.5869218630958011,0.3413839435801321,0.8963613999306889,-0.19231933542928736,-0.46098108198112775,0.04509664823828146,0.5010683760683761,0.4049145299145299,0.6015224358974355
qwen3_vl_4b,herbench,native,Action Counting,66,26,396,0.535304084140592,0.2830013610435618,0.8365726765399011,-0.20695843846762824,-0.4297697123090266,-0.0003349658754077492,0.49358974358974356,0.4123931623931623,0.5737179487179487
videollama3_7b,herbench,native,Action Counting,66,26,396,0.026582273630759656,0.011617048525721093,0.04402951549292882,-0.016924457831515204,-0.043140359421093497,0.006636426129784338,0.5801282051282051,0.4978632478632479,0.6581196581196581
internvl35_38b,herbench,native,Action Sequence Integrity Identification,70,29,420,0.0837124383123413,0.0431312810753158,0.1247416409403371,0.03263912124245274,-0.009700558389496,0.07590405911762958,0.44157088122605365,0.36877394636015326,0.5153256704980843
internvl35_8b,herbench,native,Action Sequence Integrity Identification,70,29,420,0.10331570674483288,0.04573700401407462,0.16507948132390618,-0.008536397875554262,-0.07696040693288705,0.059166960344806833,0.5296934865900383,0.4492337164750958,0.6120689655172413
perception_lm_8b,herbench,native,Action Sequence Integrity Identification,70,29,420,0.16416694117802325,0.08724549901228179,0.24165001563515487,0.0002027888388918982,-0.15013432071618496,0.1455217699757245,0.460727969348659,0.3620689655172413,0.5593869731800766
qwen3_vl_32b,herbench,native,Action Sequence Integrity Identification,70,29,420,0.1879182834849459,0.10427646977329834,0.27598861169297983,0.1548621607567874,0.0296571969260073,0.2858346592575887,0.42720306513409956,0.34195402298850575,0.5105363984674329
qwen3_vl_4b,herbench,native,Action Sequence Integrity Identification,70,29,420,0.27098448415260856,0.15159187498616522,0.4063556876930968,-0.0130614845607343,-0.165612379698268,0.12345576865671147,0.47796934865900376,0.41283524904214564,0.5450191570881225
videollama3_7b,herbench,native,Action Sequence Integrity Identification,70,29,420,-0.0010222740956649927,-0.006512177164641376,0.004719834175260586,0.0007910789543641488,-0.007048183812320916,0.009594606424028844,0.45689655172413796,0.39463601532567044,0.5172413793103448
internvl35_38b,herbench,native,False Action Memory,72,30,432,0.2541650780314942,0.1001520483667695,0.45852298879317926,-0.11472106647690655,-0.3642614387128291,0.0792076331526483,0.566111111111111,0.4777777777777778,0.6531481481481481
internvl35_8b,herbench,native,False Action Memory,72,30,432,0.19691034968890664,0.05767447684512095,0.3412229788531895,-0.08416614273338821,-0.2441871353769804,0.05451597369963695,0.5525925925925925,0.4790740740740741,0.626111111111111
