model,benchmark,metric,new_selector,comparator,items,source_video_clusters,equal_video_estimate,ci_low,ci_high,p_two_sided,p_bh_within_metric
internvl35_38b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.11493535436368696,-0.028203454385999936,0.2621213109229056,0.1366863313668633,0.3291099461482423
internvl35_38b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.4112646623059003,0.20704913414129905,0.6288441137346495,0.00019998000199980003,0.005759424057594241
internvl35_38b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.1307772899381861,-0.02421397463798014,0.28719411700220787,0.09719028097190281,0.27024989808711436
internvl35_8b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.05879494142510696,-0.09594506734982197,0.23923034631069234,0.5146485351464853,0.6427219347030814
internvl35_8b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.4471152709573625,0.21735744146899516,0.6970049378304242,0.00029997000299970003,0.0061708114902795435
internvl35_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.018539177804880128,-0.12329893143574404,0.16516433035560243,0.8051194880511949,0.8850168418272678
perception_lm_8b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.19316265797052384,0.03407091266600752,0.359503741176118,0.022297770222977704,0.10357673910028353
perception_lm_8b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.45523323451712183,0.19330285861192298,0.7427713465296835,0.0012998700129987,0.013370091562272344
perception_lm_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.2294156893815263,0.06227478202964399,0.39601242775241136,0.006799320067993201,0.04882989961873378
qwen3_vl_32b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.23036458214170952,-0.0886952698804372,0.5602307751825812,0.1743825617438256,0.37479237150911776
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.8855624509683525,0.4044052471560794,1.3793097967429844,0.0007999200079992001,0.009599040095990401
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.21617291953021123,-0.11413426642441815,0.546527531612439,0.2004799520047995,0.40335425916867773
qwen3_vl_4b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.5706139274904365,0.16601223643163374,0.9574206151829225,0.008799120087991202,0.05205633282825564
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.4915269592126966,0.06849921984382135,0.9445139942651778,0.0336966303369663,0.12441832739802941
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,0.45395006078668104,0.15127048894951867,0.7680642238218778,0.004299570042995701,0.03641988742302241
videollama3_7b,herbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,49,0.0021728923481042113,-0.0354769089270239,0.039123952372207046,0.9126087391260874,0.9734493217344933
videollama3_7b,lvbench,gold_vs_rest_logodds,mdp3_8,uniform8,500,103,0.07525155453864209,-0.01751245468516835,0.17011988674124198,0.1202879712028797,0.3149357791493578
videollama3_7b,nextgqa,gold_vs_rest_logodds,mdp3_8,uniform8,495,380,-0.0015072213534853913,-0.047516083956161,0.0449627067523665,0.9496050394960504,0.9865013498650135
internvl35_38b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,0.10117663499606443,-0.07213235211171136,0.27075938987480913,0.26407359264073593,0.45815177518392736
internvl35_38b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.13575196347417853,-5.1757924938454745e-05,0.27307801464561726,0.052094790520947905,0.17445697290736042
internvl35_38b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.0809136408596948,-0.11021870345340093,0.27794865094528665,0.4316568343165683,0.5976786936690945
internvl35_8b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,-0.025859437489904512,-0.18274887215410018,0.13291545580688416,0.7559244075592441,0.8504149585041496
internvl35_8b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.0797446388208772,-0.08069980106110426,0.24277019912117836,0.3341665833416658,0.5230433478391291
internvl35_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.07383498039545297,-0.11066024287017756,0.2565000281175921,0.43765623437656237,0.600214264287857
perception_lm_8b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,0.3613931388351346,0.19768981090221535,0.5331278401801136,9.999000099990002e-05,0.0035996400359964006
perception_lm_8b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.10369635598563745,-0.04786143392753614,0.26066567620629505,0.18958104189581043,0.38999528618566714
perception_lm_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.2265358105570953,0.02190472580122018,0.4393413017400754,0.0332966703329667,0.12441832739802941
qwen3_vl_32b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,0.18657128383502028,-0.14125113855508398,0.5205445895449301,0.2780721927807219,0.47328914167406794
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.25979147570382244,-0.11896580485566191,0.641924824476019,0.1850814918508149,0.38999528618566714
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.38176712772696414,0.0420379625946734,0.7235108444195674,0.029197080291970802,0.12441832739802941
qwen3_vl_4b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,0.5363353849069096,0.18086660747732117,0.8903812299125209,0.0046995300469953,0.0375962403759624
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.3234546655484509,0.027666614748034096,0.6228774058779265,0.034996500349965,0.125987401259874
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.6110095342157491,0.26261413365946196,0.957628601380707,0.0005999400059994001,0.007853760078537601
videollama3_7b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,49,0.021751155483841312,-0.006056901733111152,0.05202545930246312,0.14338566143385661,0.3291099461482423
videollama3_7b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,500,103,0.03007962600703916,-0.032169491154328884,0.09299686067080362,0.3448655134486551,0.5254716633599797
videollama3_7b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_relevance8,495,380,0.02887451468288833,-0.02999679221995297,0.09069743739210245,0.34666533346665335,0.5254716633599797
internvl35_38b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.055838184313167304,-0.08633382565200978,0.2007569543756106,0.45635436456354367,0.6028901696986265
internvl35_38b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.09309843501547087,-0.032155266353236775,0.21647348464145488,0.1581841815818418,0.3559144085591441
internvl35_38b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,0.07129069743123558,-0.07109390446169842,0.2132486013973595,0.33196680331966805,0.5230433478391291
internvl35_8b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.0020238757353740018,-0.12617537217283634,0.13469728175518808,0.9767023297670233,0.9865013498650135
internvl35_8b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.0876906609836521,-0.06188948256584683,0.2352468450596452,0.25437456254374563,0.4467065488573094
internvl35_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,0.011098918440507274,-0.1320859232192176,0.14974191141823565,0.8816118388161184,0.947403767085978
perception_lm_8b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.1189411244967854,-0.03106520892121052,0.2733790027316334,0.13488651134886512,0.3291099461482423
perception_lm_8b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.13292677479349424,-0.032160527800682244,0.3045262442482374,0.12888711128887112,0.3256095443087271
perception_lm_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,0.02843287286153185,-0.12486778693719391,0.17825569176714942,0.7190280971902809,0.8217463967888924
qwen3_vl_32b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.22951136428916913,-0.09144265526854435,0.5403271873941656,0.1633836616338366,0.3619576503888073
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.4419978795669467,0.1272007659069234,0.7786229156277839,0.0093990600939906,0.05205633282825564
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,-0.03724292788594443,-0.2973692356632361,0.22594691154703328,0.791920807919208,0.8772045872335843
qwen3_vl_4b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.25581358428237555,-0.037019328358291095,0.550868003158924,0.09659034096590341,0.27024989808711436
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.24595587551421905,-0.05828678621881989,0.5541708320150885,0.12438756124387561,0.319853728912823
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,0.1275648815432542,-0.14475096146404756,0.40612377707004055,0.36306369363063695,0.5445955404459554
videollama3_7b,herbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,49,0.0061120789952953366,-0.0224098358784709,0.034219101636317695,0.6773322667733227,0.7865794065754714
videollama3_7b,lvbench,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,500,103,0.021845194856002,-0.04001190547823462,0.0814576388853244,0.5034496550344966,0.6427219347030814
videollama3_7b,nextgqa,gold_vs_rest_logodds,mdp3_8,siglip_dino_submodular8,495,380,0.011895954532736687,-0.030132844186093855,0.054546335387511344,0.5947405259474052,0.7136886311368863
internvl35_38b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,0.02007853836333981,-0.12661048313929704,0.16445848790854528,0.7842215778422158,0.8754101334052641
internvl35_38b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,0.17943239328700045,-0.005848664430511169,0.3703974051777435,0.06479352064793521,0.2118188181181882
internvl35_38b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,0.013183635845473121,-0.13690014755152485,0.16291981995146856,0.8668133186681332,0.9389376851788506
internvl35_8b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,-0.08947658446983352,-0.24342466111089744,0.06183247829515901,0.2522747725227477,0.4467065488573094
internvl35_8b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,0.1286341970584244,-0.08199263697211669,0.3433639098332975,0.24577542245775422,0.4467065488573094
internvl35_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,-0.03697442464321107,-0.18762874364660645,0.11548495464992133,0.6266373362663734,0.7396375116586703
perception_lm_8b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,0.19065114103351388,0.0393817721618744,0.3436677128194517,0.0163983601639836,0.07871212878712129
perception_lm_8b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,0.08153409232202809,-0.16085458542544476,0.32346248932071775,0.5177482251774822,0.6427219347030814
perception_lm_8b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,0.03610557035147611,-0.1326176599379776,0.20292752134723985,0.6703329667033296,0.7847800585795079
qwen3_vl_32b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,-0.029077439628243218,-0.38094831841227283,0.3108752957055195,0.8672132786721328,0.9389376851788506
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,0.6367540090796736,0.14591408677514703,1.1211730059186322,0.011698830116988301,0.06239376062393761
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,0.1742171083501404,-0.16872200780964228,0.525149223516698,0.3200679932006799,0.51994800519948
qwen3_vl_4b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,0.15521741531586103,-0.218410637778558,0.5238184412060211,0.42675732426757323,0.5966315989760247
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,0.3038132605477758,-0.0686440050507193,0.6705531878981545,0.1080891910808919,0.2882378428823784
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,0.3003164369980542,-0.01515251039059618,0.6243623891943958,0.06619338066193381,0.2118188181181882
videollama3_7b,herbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,49,-0.028018215295753882,-0.060664213082812043,0.0022261161970781817,0.0867913208679132,0.26037396260373963
videollama3_7b,lvbench,gold_vs_rest_logodds,mdp3_8,bolt_its8,500,103,-0.0006873676583508433,-0.06814652490957171,0.06741207663281704,0.984001599840016,0.9865013498650135
videollama3_7b,nextgqa,gold_vs_rest_logodds,mdp3_8,bolt_its8,495,380,-0.027932615588182223,-0.07477807694382807,0.019219162655042536,0.24827517248275172,0.4467065488573094
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.09774021170047593,-0.059541245661868185,0.256382334543024,0.23297670232976703,0.4414295412564007
internvl35_38b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.37322721545880544,0.189786982108332,0.5767883584469136,9.999000099990002e-05,0.0035996400359964006
internvl35_38b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.1487747753452649,-0.0026863403993604936,0.2997255406224816,0.050994900509949,0.17445697290736042
internvl35_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,-0.0018363099436680766,-0.1818073659325892,0.20116231137216042,0.9865013498650135,0.9865013498650135
internvl35_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.4132154320272423,0.19176710698082533,0.6647007938270642,0.00039996000399960006,0.007199280071992801
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.053690437948211885,-0.098911459970411,0.21048415564765977,0.505949405059494,0.6427219347030814
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.22141855852748585,0.04004270314063831,0.41998389302000283,0.029597040295970403,0.12441832739802941
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.46997155577242744,0.20261121024828393,0.7603664173463142,0.0016998300169983002,0.0161983801619838
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.3001028465505016,0.12670985468209225,0.4762525298191724,0.000999900009999,0.011075815495373538
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.13457066752436694,-0.1979364928159383,0.4839861144112749,0.45555444455554445,0.6028901696986265
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.891547060658401,0.4189546575996541,1.3885893307071047,0.00029997000299970003,0.0061708114902795435
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.512593116270826,0.18817648225450082,0.8297961463164741,0.0017998200179982,0.0161983801619838
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.5709244817019088,0.1620383584703359,0.998480905266187,0.012998700129987,0.06454526961096993
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.4421771611691265,0.04393232828803039,0.8595177021503712,0.0324967503249675,0.12441832739802941
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.6080423050689012,0.3119031789544437,0.9126391137419169,9.999000099990002e-05,0.0035996400359964006
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,49,0.001221742531671585,-0.03728928879288592,0.04152530369044114,0.951004899510049,0.9865013498650135
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,uniform8,500,103,0.07395480390365994,-0.022264732396089303,0.17095679666856675,0.14058594140585942,0.3291099461482423
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,uniform8,495,380,0.0018801285096918035,-0.042861830819053,0.04850232798408038,0.9362063793620637,0.9865013498650135
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.08398149233285342,-0.0876079518836599,0.2534354139248199,0.34626537346265374,0.5254716633599797
internvl35_38b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.09771451662708366,-0.030589841094646818,0.23050994092698499,0.143985601439856,0.3291099461482423
internvl35_38b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.09891112626677358,-0.09819636627773519,0.2988944515368081,0.32496750324967505,0.51994800519948
internvl35_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,-0.08649068885867958,-0.25434815931965543,0.0803312809100437,0.32226777322267774,0.51994800519948
internvl35_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.045844799890757106,-0.11864796073807699,0.21344572328468517,0.5843415658434157,0.7071023990037971
internvl35_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.1089862405387847,-0.0731044848676132,0.2950948634506293,0.24347565243475652,0.4467065488573094
perception_lm_8b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.38964903939209655,0.19446153259616453,0.5814207509427989,0.0005999400059994001,0.007853760078537601
perception_lm_8b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.11843467724094302,-0.05122264263016221,0.2967848474393346,0.18848115188481152,0.38999528618566714
perception_lm_8b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.29722296772607065,0.0877418909840344,0.5010386665995685,0.007399260073992601,0.04882989961873378
qwen3_vl_32b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.09077736921767773,-0.24533388930582978,0.440497632997599,0.6083391660833917,0.7239738836033752
qwen3_vl_32b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.26577608539387076,-0.1257047161433124,0.6762399187858006,0.20677932206779323,0.40335425916867773
qwen3_vl_32b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.6781873244675788,0.33918025369458304,1.025388886692071,0.0005999400059994001,0.007853760078537601
qwen3_vl_4b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.5366459391183818,0.17376971868175883,0.9210123070345502,0.006999300069993001,0.04882989961873378
qwen3_vl_4b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.27410486750488067,-0.025088363323539867,0.5821333190644096,0.0766923307669233,0.24008033979210772
qwen3_vl_4b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.7651017784979695,0.418146076264743,1.1293919373718078,9.999000099990002e-05,0.0035996400359964006
videollama3_7b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,49,0.02080000566740869,-0.015682993237076292,0.058810216075400434,0.28787121287871215,0.482016914587611
videollama3_7b,lvbench,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,500,103,0.028782875372057003,-0.0346599404160948,0.09179001945189472,0.38436156384361564,0.5612558744125588
videollama3_7b,nextgqa,gold_vs_rest_logodds,plain_dpp_8,siglip_relevance8,495,380,0.032261864546065534,-0.026510351171018548,0.09104497822177214,0.2793720627937206,0.47328914167406794
internvl35_38b,herbench,gold_vs_rest_logodds,plain_dpp_8,siglip_dino_submodular8,500,49,0.0386430416499563,-0.08893528764543186,0.15788770569584745,0.5627437256274372,0.6867381058504319
