item_id,benchmark,condition,selected_candidate_indices
nextgqa:10109006686:3,nextgqa,mdp3_8,"[0, 12, 20, 32, 44, 49, 61, 62]"
nextgqa:10109006686:3,nextgqa,plain_dpp_8,"[0, 7, 14, 20, 32, 44, 61, 62]"
nextgqa:10128261054:2,nextgqa,mdp3_8,"[2, 11, 14, 20, 50, 56, 59, 62]"
nextgqa:10128261054:2,nextgqa,plain_dpp_8,"[2, 11, 12, 14, 20, 54, 59, 61]"
nextgqa:10128261054:6,nextgqa,mdp3_8,"[0, 12, 14, 20, 26, 50, 57, 59]"
nextgqa:10128261054:6,nextgqa,plain_dpp_8,"[2, 12, 14, 20, 26, 54, 59, 61]"
nextgqa:10173643695:5,nextgqa,mdp3_8,"[0, 2, 13, 20, 28, 38, 45, 47]"
nextgqa:10173643695:5,nextgqa,plain_dpp_8,"[0, 2, 13, 20, 28, 38, 45, 47]"
nextgqa:10173643695:8,nextgqa,mdp3_8,"[0, 2, 13, 17, 28, 39, 45, 47]"
nextgqa:10173643695:8,nextgqa,plain_dpp_8,"[0, 2, 13, 20, 28, 39, 45, 47]"
nextgqa:10278239024:2,nextgqa,mdp3_8,"[8, 28, 37, 39, 46, 48, 53, 60]"
nextgqa:10278239024:2,nextgqa,plain_dpp_8,"[8, 24, 37, 39, 46, 48, 53, 60]"
nextgqa:10316970886:3,nextgqa,mdp3_8,"[0, 5, 11, 14, 21, 29, 34, 63]"
nextgqa:10316970886:3,nextgqa,plain_dpp_8,"[0, 5, 11, 13, 21, 29, 34, 60]"
nextgqa:10400848434:2,nextgqa,mdp3_8,"[0, 13, 23, 28, 34, 41, 58, 61]"
nextgqa:10400848434:2,nextgqa,plain_dpp_8,"[0, 13, 22, 28, 34, 38, 41, 61]"
nextgqa:10467727335:4,nextgqa,mdp3_8,"[0, 3, 10, 15, 19, 22, 40, 60]"
nextgqa:10467727335:4,nextgqa,plain_dpp_8,"[0, 1, 3, 10, 15, 19, 22, 39]"
nextgqa:10483027904:9,nextgqa,mdp3_8,"[0, 4, 20, 21, 32, 35, 38, 60]"
nextgqa:10483027904:9,nextgqa,plain_dpp_8,"[0, 4, 20, 21, 32, 38, 44, 60]"
nextgqa:10488004303:9,nextgqa,mdp3_8,"[11, 24, 31, 47, 50, 54, 57, 62]"
nextgqa:10488004303:9,nextgqa,plain_dpp_8,"[12, 24, 31, 46, 47, 50, 54, 57]"
nextgqa:10495085476:4,nextgqa,mdp3_8,"[2, 11, 23, 27, 28, 35, 43, 56]"
nextgqa:10495085476:4,nextgqa,plain_dpp_8,"[2, 11, 27, 30, 42, 43, 46, 56]"
nextgqa:10640925015:0,nextgqa,mdp3_8,"[1, 8, 20, 26, 43, 53, 56, 62]"
nextgqa:10640925015:0,nextgqa,plain_dpp_8,"[1, 8, 20, 26, 41, 53, 56, 63]"
nextgqa:10682218035:5,nextgqa,mdp3_8,"[4, 6, 17, 20, 27, 30, 35, 49]"
nextgqa:10682218035:5,nextgqa,plain_dpp_8,"[4, 6, 9, 17, 20, 32, 35, 49]"
nextgqa:10734790773:4,nextgqa,mdp3_8,"[0, 6, 11, 12, 15, 30, 36, 48]"
nextgqa:10734790773:4,nextgqa,plain_dpp_8,"[0, 6, 11, 12, 15, 30, 40, 48]"
nextgqa:10747331063:2,nextgqa,mdp3_8,"[1, 3, 5, 13, 23, 24, 40, 61]"
nextgqa:10747331063:2,nextgqa,plain_dpp_8,"[1, 3, 5, 13, 24, 25, 40, 41]"
nextgqa:10985344225:6,nextgqa,mdp3_8,"[7, 19, 25, 28, 31, 32, 42, 61]"
nextgqa:10985344225:6,nextgqa,plain_dpp_8,"[7, 19, 25, 28, 30, 31, 42, 61]"
nextgqa:11019529085:1,nextgqa,mdp3_8,"[0, 6, 15, 23, 25, 29, 44, 63]"
nextgqa:11019529085:1,nextgqa,plain_dpp_8,"[0, 6, 15, 24, 44, 47, 49, 63]"
nextgqa:11169386614:3,nextgqa,mdp3_8,"[0, 5, 9, 12, 19, 23, 24, 51]"
nextgqa:11169386614:3,nextgqa,plain_dpp_8,"[5, 9, 12, 19, 21, 23, 24, 38]"
nextgqa:11169386614:5,nextgqa,mdp3_8,"[0, 9, 21, 23, 24, 30, 36, 40]"
nextgqa:11169386614:5,nextgqa,plain_dpp_8,"[0, 9, 19, 21, 23, 24, 30, 40]"
nextgqa:11278971046:4,nextgqa,mdp3_8,"[3, 18, 21, 37, 41, 53, 57, 63]"
nextgqa:11278971046:4,nextgqa,plain_dpp_8,"[14, 25, 37, 41, 53, 54, 57, 63]"
nextgqa:11400037054:7,nextgqa,mdp3_8,"[0, 1, 4, 8, 38, 57, 62, 63]"
nextgqa:11400037054:7,nextgqa,plain_dpp_8,"[0, 1, 4, 8, 38, 57, 62, 63]"
nextgqa:11506594895:2,nextgqa,mdp3_8,"[3, 5, 15, 19, 31, 48, 56, 60]"
nextgqa:11506594895:2,nextgqa,plain_dpp_8,"[3, 5, 15, 17, 19, 31, 50, 56]"
nextgqa:11589691386:4,nextgqa,mdp3_8,"[1, 11, 14, 33, 35, 37, 38, 54]"
nextgqa:11589691386:4,nextgqa,plain_dpp_8,"[1, 14, 17, 33, 35, 36, 37, 54]"
nextgqa:11794871936:3,nextgqa,mdp3_8,"[0, 27, 32, 38, 43, 47, 52, 59]"
nextgqa:11794871936:3,nextgqa,plain_dpp_8,"[0, 32, 35, 38, 43, 47, 52, 61]"
nextgqa:11794871936:6,nextgqa,mdp3_8,"[0, 16, 29, 32, 38, 47, 52, 59]"
nextgqa:11794871936:6,nextgqa,plain_dpp_8,"[0, 16, 32, 35, 40, 45, 47, 61]"
nextgqa:11794880314:0,nextgqa,mdp3_8,"[1, 4, 31, 35, 39, 43, 53, 62]"
nextgqa:11794880314:0,nextgqa,plain_dpp_8,"[31, 32, 35, 41, 43, 52, 53, 62]"
nextgqa:11794880314:4,nextgqa,mdp3_8,"[2, 31, 32, 35, 41, 43, 52, 59]"
nextgqa:11794880314:4,nextgqa,plain_dpp_8,"[31, 32, 35, 36, 41, 43, 52, 59]"
nextgqa:12068876905:3,nextgqa,mdp3_8,"[1, 6, 17, 24, 28, 46, 52, 62]"
nextgqa:12068876905:3,nextgqa,plain_dpp_8,"[1, 4, 6, 17, 24, 37, 52, 62]"
nextgqa:12078592673:5,nextgqa,mdp3_8,"[0, 3, 5, 23, 30, 32, 59, 60]"
nextgqa:12078592673:5,nextgqa,plain_dpp_8,"[0, 3, 5, 7, 9, 32, 59, 60]"
nextgqa:12257884095:3,nextgqa,mdp3_8,"[0, 1, 13, 16, 21, 29, 38, 59]"
nextgqa:12257884095:3,nextgqa,plain_dpp_8,"[0, 1, 2, 13, 16, 21, 37, 40]"
nextgqa:12299711406:4,nextgqa,mdp3_8,"[0, 1, 11, 21, 31, 36, 47, 49]"
nextgqa:12299711406:4,nextgqa,plain_dpp_8,"[0, 1, 5, 25, 36, 47, 49, 63]"
nextgqa:12299711406:7,nextgqa,mdp3_8,"[0, 1, 8, 13, 25, 43, 49, 51]"
nextgqa:12299711406:7,nextgqa,plain_dpp_8,"[0, 1, 5, 8, 13, 25, 43, 49]"
nextgqa:12397126264:2,nextgqa,mdp3_8,"[9, 18, 29, 30, 31, 35, 38, 45]"
nextgqa:12397126264:2,nextgqa,plain_dpp_8,"[9, 25, 29, 30, 36, 38, 45, 59]"
nextgqa:12427023395:0,nextgqa,mdp3_8,"[0, 3, 11, 17, 41, 53, 58, 63]"
nextgqa:12427023395:0,nextgqa,plain_dpp_8,"[0, 3, 11, 17, 41, 55, 58, 63]"
nextgqa:12427023395:2,nextgqa,mdp3_8,"[0, 11, 17, 41, 56, 58, 62, 63]"
nextgqa:12427023395:2,nextgqa,plain_dpp_8,"[0, 3, 11, 17, 41, 56, 58, 62]"
nextgqa:12427023395:4,nextgqa,mdp3_8,"[0, 3, 14, 17, 19, 47, 62, 63]"
nextgqa:12427023395:4,nextgqa,plain_dpp_8,"[0, 3, 12, 19, 41, 52, 58, 63]"
nextgqa:12427023395:5,nextgqa,mdp3_8,"[0, 14, 19, 41, 46, 54, 62, 63]"
nextgqa:12427023395:5,nextgqa,plain_dpp_8,"[0, 11, 17, 41, 46, 54, 62, 63]"
nextgqa:12753577835:1,nextgqa,mdp3_8,"[7, 18, 19, 21, 24, 25, 29, 56]"
nextgqa:12753577835:1,nextgqa,plain_dpp_8,"[4, 19, 21, 23, 24, 25, 32, 56]"
nextgqa:12753577835:4,nextgqa,mdp3_8,"[7, 11, 18, 20, 24, 25, 50, 56]"
nextgqa:12753577835:4,nextgqa,plain_dpp_8,"[0, 11, 18, 19, 21, 24, 25, 56]"
nextgqa:13166998645:2,nextgqa,mdp3_8,"[0, 2, 14, 32, 36, 48, 60, 63]"
nextgqa:13166998645:2,nextgqa,plain_dpp_8,"[0, 2, 14, 27, 32, 36, 48, 60]"
nextgqa:13199465314:3,nextgqa,mdp3_8,"[4, 21, 27, 28, 39, 53, 56, 60]"
nextgqa:13199465314:3,nextgqa,plain_dpp_8,"[4, 21, 27, 28, 39, 51, 53, 56]"
nextgqa:13259212584:4,nextgqa,mdp3_8,"[0, 4, 28, 47, 48, 50, 54, 58]"
nextgqa:13259212584:4,nextgqa,plain_dpp_8,"[0, 28, 47, 48, 50, 53, 54, 58]"
nextgqa:13482206704:2,nextgqa,mdp3_8,"[0, 2, 9, 27, 42, 50, 51, 59]"
nextgqa:13482206704:2,nextgqa,plain_dpp_8,"[0, 2, 13, 30, 42, 50, 51, 53]"
nextgqa:13496244575:3,nextgqa,mdp3_8,"[0, 1, 20, 34, 43, 45, 46, 47]"
nextgqa:13496244575:3,nextgqa,plain_dpp_8,"[5, 21, 34, 42, 43, 46, 47, 52]"
nextgqa:13516621384:3,nextgqa,mdp3_8,"[27, 44, 47, 48, 55, 59, 60, 62]"
nextgqa:13516621384:3,nextgqa,plain_dpp_8,"[27, 44, 49, 54, 56, 59, 60, 62]"
nextgqa:13887487955:5,nextgqa,mdp3_8,"[0, 11, 23, 27, 33, 45, 47, 59]"
nextgqa:13887487955:5,nextgqa,plain_dpp_8,"[0, 11, 23, 27, 31, 37, 44, 47]"
nextgqa:2399811629:5,nextgqa,mdp3_8,"[4, 16, 19, 20, 21, 28, 34, 60]"
nextgqa:2399811629:5,nextgqa,plain_dpp_8,"[0, 4, 16, 18, 19, 20, 33, 59]"
nextgqa:2404303400:5,nextgqa,mdp3_8,"[8, 10, 19, 32, 33, 47, 48, 62]"
nextgqa:2404303400:5,nextgqa,plain_dpp_8,"[10, 19, 32, 33, 47, 48, 53, 62]"
nextgqa:2405004230:10,nextgqa,mdp3_8,"[9, 10, 16, 48, 53, 57, 62, 63]"
nextgqa:2405004230:10,nextgqa,plain_dpp_8,"[9, 10, 39, 48, 53, 58, 62, 63]"
nextgqa:2405004230:3,nextgqa,mdp3_8,"[2, 9, 10, 11, 48, 55, 57, 62]"
nextgqa:2405004230:3,nextgqa,plain_dpp_8,"[9, 10, 11, 12, 48, 54, 57, 62]"
nextgqa:2406887888:1,nextgqa,mdp3_8,"[5, 12, 13, 41, 44, 50, 57, 63]"
nextgqa:2406887888:1,nextgqa,plain_dpp_8,"[5, 13, 41, 42, 44, 50, 57, 63]"
nextgqa:2407193002:7,nextgqa,mdp3_8,"[9, 12, 17, 20, 26, 33, 51, 55]"
nextgqa:2407193002:7,nextgqa,plain_dpp_8,"[2, 9, 12, 17, 20, 26, 51, 55]"
nextgqa:2414043078:6,nextgqa,mdp3_8,"[7, 15, 20, 24, 34, 52, 53, 54]"
