model,benchmark,condition,metric,source_video_clusters,equal_video_mean
internvl35_38b,herbench,aks_fixedk8,gold_vs_rest_logodds,49,-0.5581867973278472
internvl35_38b,herbench,aks_fixedk8,correct,49,0.524522784471764
internvl35_38b,herbench,bolt_its8,gold_vs_rest_logodds,49,-0.47708870069512244
internvl35_38b,herbench,bolt_its8,correct,49,0.5276927154478175
internvl35_38b,herbench,dino_change8,gold_vs_rest_logodds,49,-0.5888878337932048
internvl35_38b,herbench,dino_change8,correct,49,0.4977668306749939
internvl35_38b,herbench,dino_diversity8,gold_vs_rest_logodds,49,-0.5519092406534681
internvl35_38b,herbench,dino_diversity8,correct,49,0.5422011095480483
internvl35_38b,herbench,mdp3_8,gold_vs_rest_logodds,49,-0.4570101623317826
internvl35_38b,herbench,mdp3_8,correct,49,0.5259058118751996
internvl35_38b,herbench,plain_dpp_8,gold_vs_rest_logodds,49,-0.47420530499499375
internvl35_38b,herbench,plain_dpp_8,correct,49,0.5244047902211167
internvl35_38b,herbench,random8,gold_vs_rest_logodds,49,-0.4734228048583008
internvl35_38b,herbench,random8,correct,49,0.5202958322856281
internvl35_38b,herbench,siglip_dino_submodular8,gold_vs_rest_logodds,49,-0.51284834664495
internvl35_38b,herbench,siglip_dino_submodular8,correct,49,0.5093374879089164
internvl35_38b,herbench,siglip_relevance8,gold_vs_rest_logodds,49,-0.5581867973278472
internvl35_38b,herbench,siglip_relevance8,correct,49,0.524522784471764
internvl35_38b,herbench,uniform8,gold_vs_rest_logodds,49,-0.5719455166954697
internvl35_38b,herbench,uniform8,correct,49,0.4953624323522282
internvl35_38b,lvbench,aks_fixedk8,gold_vs_rest_logodds,103,-0.43125456082201574
internvl35_38b,lvbench,aks_fixedk8,correct,103,0.4711319155493913
internvl35_38b,lvbench,bolt_its8,gold_vs_rest_logodds,103,-0.47493499063483774
internvl35_38b,lvbench,bolt_its8,correct,103,0.43597241485590993
internvl35_38b,lvbench,dino_change8,gold_vs_rest_logodds,103,-0.5881104354078891
internvl35_38b,lvbench,dino_change8,correct,103,0.40183002003390356
internvl35_38b,lvbench,dino_diversity8,gold_vs_rest_logodds,103,-0.7502517478970943
internvl35_38b,lvbench,dino_diversity8,correct,103,0.38465865310525504
internvl35_38b,lvbench,mdp3_8,gold_vs_rest_logodds,103,-0.2955025973478372
internvl35_38b,lvbench,mdp3_8,correct,103,0.4767221451687471
internvl35_38b,lvbench,plain_dpp_8,gold_vs_rest_logodds,103,-0.3335400441949321
internvl35_38b,lvbench,plain_dpp_8,correct,103,0.4656071813838804
internvl35_38b,lvbench,random8,gold_vs_rest_logodds,103,-0.6798315471975637
internvl35_38b,lvbench,random8,correct,103,0.40110186469409786
internvl35_38b,lvbench,siglip_dino_submodular8,gold_vs_rest_logodds,103,-0.38860103236330806
internvl35_38b,lvbench,siglip_dino_submodular8,correct,103,0.4886500231160425
internvl35_38b,lvbench,siglip_relevance8,gold_vs_rest_logodds,103,-0.43125456082201574
internvl35_38b,lvbench,siglip_relevance8,correct,103,0.4711319155493913
internvl35_38b,lvbench,uniform8,gold_vs_rest_logodds,103,-0.7067672596537375
internvl35_38b,lvbench,uniform8,correct,103,0.4099976883957467
internvl35_38b,nextgqa,aks_fixedk8,gold_vs_rest_logodds,380,3.65616490373953
internvl35_38b,nextgqa,aks_fixedk8,correct,380,0.8094298245614036
internvl35_38b,nextgqa,bolt_its8,gold_vs_rest_logodds,380,3.7238949087537514
internvl35_38b,nextgqa,bolt_its8,correct,380,0.8186403508771929
internvl35_38b,nextgqa,dino_change8,gold_vs_rest_logodds,380,3.407441696923589
internvl35_38b,nextgqa,dino_change8,correct,380,0.8052631578947368
internvl35_38b,nextgqa,dino_diversity8,gold_vs_rest_logodds,380,3.49498253309888
internvl35_38b,nextgqa,dino_diversity8,correct,380,0.8138157894736842
internvl35_38b,nextgqa,mdp3_8,gold_vs_rest_logodds,380,3.7370785445992247
internvl35_38b,nextgqa,mdp3_8,correct,380,0.8309210526315789
internvl35_38b,nextgqa,plain_dpp_8,gold_vs_rest_logodds,380,3.755076030006304
